"nftId","uri","image","metadata"
"craftyourworld-0011","https://craftyourworld-book-nft.s3.amazonaws.com/webp/11.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-3-2-6-0.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0011"",""fileName"":""Craftyourworld-cover-3-2-6-0"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeiggvhgcim3nx6cwq455qvjayewjtoqq3kkk6q3dabqsj62nd5sgeu"",""attributes"":{""icon"":""Cessna"",""bgColor"":""Pale Azure"",""backdrop"":""Arrow"",""signature"":""None""}}"
"craftyourworld-0012","https://craftyourworld-book-nft.s3.amazonaws.com/webp/12.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-0-3-6-0.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0012"",""fileName"":""Craftyourworld-cover-0-3-6-0"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeihkx42lilgzllhuoqy4falr4cutamw6i52qi5mcd7nj6poeh25yka"",""attributes"":{""icon"":""Paper Plane"",""bgColor"":""Tea Rose"",""backdrop"":""Arrow"",""signature"":""None""}}"
"craftyourworld-0013","https://craftyourworld-book-nft.s3.amazonaws.com/webp/13.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-3-3-4-2.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0013"",""fileName"":""Craftyourworld-cover-3-3-4-2"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeiat7uq53jwqsbv4ahqfvp3x2zteob65mdc2txh724wvf3urnbjf4u"",""attributes"":{""icon"":""Cessna"",""bgColor"":""Tea Rose"",""backdrop"":""World"",""signature"":""Do what you love""}}"
"craftyourworld-0014","https://craftyourworld-book-nft.s3.amazonaws.com/webp/14.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-0-4-6-0.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0014"",""fileName"":""Craftyourworld-cover-0-4-6-0"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeiau36bxtdctlqlxca5a776hvecr7cxnwlabkxfw6uhhuec42skshi"",""attributes"":{""icon"":""Paper Plane"",""bgColor"":""Tea Green"",""backdrop"":""Arrow"",""signature"":""None""}}"
"craftyourworld-0015","https://craftyourworld-book-nft.s3.amazonaws.com/webp/15.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-3-2-2-0.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0015"",""fileName"":""Craftyourworld-cover-3-2-2-0"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeifyp4ufmabgeqz5sco24cokpmn3ybqhoztdhvxozsglekg7hvdpku"",""attributes"":{""icon"":""Cessna"",""bgColor"":""Pale Azure"",""backdrop"":""Hong Kong 2"",""signature"":""None""}}"
"craftyourworld-0016","https://craftyourworld-book-nft.s3.amazonaws.com/webp/16.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-0-4-0-0.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0016"",""fileName"":""Craftyourworld-cover-0-4-0-0"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeic2kpyu75hplxzh5cp4pwli34rflkbkrf6c5akho3cq7z7jbgvfse"",""attributes"":{""icon"":""Paper Plane"",""bgColor"":""Tea Green"",""backdrop"":""None"",""signature"":""None""}}"
"craftyourworld-0017","https://craftyourworld-book-nft.s3.amazonaws.com/webp/17.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-3-3-6-0.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0017"",""fileName"":""Craftyourworld-cover-3-3-6-0"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeietp5h5i2rrsjgnf4apxtkwrohsusu3xek62tvt6dw6q4vvzhry6y"",""attributes"":{""icon"":""Cessna"",""bgColor"":""Tea Rose"",""backdrop"":""Arrow"",""signature"":""None""}}"
"craftyourworld-0018","https://craftyourworld-book-nft.s3.amazonaws.com/webp/18.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-1-3-4-0.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0018"",""fileName"":""Craftyourworld-cover-1-3-4-0"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeihuhx7mniji5g6zhn6lxlejxt6rbtcsaf6t6k2rzqmruujo4vruam"",""attributes"":{""icon"":""Formular1"",""bgColor"":""Tea Rose"",""backdrop"":""World"",""signature"":""None""}}"
"craftyourworld-0019","https://craftyourworld-book-nft.s3.amazonaws.com/webp/19.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-3-1-6-0.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0019"",""fileName"":""Craftyourworld-cover-3-1-6-0"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeiegvbk76bwyespzubgayxivtrguhp467stdk7ukx3srwkxtulvnba"",""attributes"":{""icon"":""Cessna"",""bgColor"":""Melon"",""backdrop"":""Arrow"",""signature"":""None""}}"
"craftyourworld-0020","https://craftyourworld-book-nft.s3.amazonaws.com/webp/20.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/.DS_Store.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0020"",""fileName"":"".DS_Store"",""attributes"":{}}"
